1	  63.52	  10.68	   0.61	 410.00	 136.00
2	  63.61	  20.38	   0.31	 407.00	 102.00
3	  71.56	  11.96	   0.70	 347.00	 159.00
4	  70.92	  14.42	   0.14	 217.00	 441.00
5	  51.43	  13.67	  -0.37	 206.00	 211.00
6	  31.09	  13.48	  -0.49	 362.00	 296.00
7	  99.22	  32.40	  -0.75	 325.00	 268.00
8	  59.90	   9.62	  -0.53	 383.00	 203.00
9	  42.87	  18.54	   0.38	 109.00	 287.00
10	  50.41	   9.31	  -0.63	 229.00	 396.00
11	  22.99	   8.34	   0.64	 382.00	 137.00
12	  54.15	  15.25	  -0.25	 343.00	 228.00
13	  69.97	  10.41	   0.47	 105.00	 347.00
14	  54.26	   9.67	   0.01	 295.00	 102.00
15	  33.43	  17.73	  -0.35	 232.00	 306.00
16	  27.98	  10.77	   0.41	 397.00	 396.00
17	  27.63	  11.79	   0.24	 151.00	 142.00
18	  31.64	  12.82	   0.52	 215.00	 324.00
19	  63.61	   9.10	  -0.49	 241.00	 424.00
20	  61.40	  11.31	   0.05	 239.00	 146.00
21	  60.19	  11.24	  -0.54	 415.00	 400.00
22	  46.10	  11.55	  -0.68	 224.00	 420.00
23	  49.82	  10.14	   0.14	 256.00	 222.00
24	  66.70	  23.80	   0.18	 223.00	 138.00
25	  72.24	  11.15	   0.06	 358.00	 140.00
26	  55.31	   9.39	  -0.66	 178.00	 133.00
27	  67.71	  18.60	   0.11	 103.00	 338.00
28	  75.48	  14.71	   0.24	 182.00	 419.00
29	  48.78	  12.53	  -0.35	 206.00	  88.00
30	  22.89	   9.27	   0.76	 222.00	 228.00
31	  76.77	  11.51	   0.44	 238.00	  94.00
32	  61.85	  20.71	   0.16	 374.00	 285.00
33	  28.34	  12.08	  -0.44	 248.00	 295.00
34	  70.25	   9.85	  -0.25	 116.00	 199.00
35	  69.60	   9.53	   0.29	 285.00	 109.00
36	  69.02	  11.10	   0.32	 128.00	 345.00
37	  59.33	  13.74	  -0.34	 288.00	 135.00
38	  28.11	  15.34	   0.45	 437.00	 270.00
39	  71.81	  11.52	  -0.31	 103.00	 328.00
40	  46.06	  20.83	   0.47	 120.00	 407.00
41	  76.78	  51.46	   0.77	 146.00	 213.00
42	  48.86	  10.96	   0.50	 400.00	  93.00
43	  66.31	  15.22	   0.48	 187.00	 420.00
44	  61.30	  10.61	   0.58	 296.00	 111.00
45	  65.04	  13.16	  -0.39	 189.00	 356.00
46	  75.50	  23.56	  -0.37	 320.00	  94.00
47	  23.29	  10.14	  -0.34	 267.00	 156.00
48	  30.61	  15.16	  -0.60	  99.00	 338.00
49	  26.11	   8.35	  -0.42	 282.00	 198.00
50	  61.32	  13.97	  -0.72	 391.00	 245.00
51	  76.03	  20.07	  -0.21	 402.00	 426.00
52	  62.17	  12.94	   0.78	 119.00	 418.00
53	  52.47	  13.68	  -0.36	 192.00	 182.00
54	  68.60	  24.87	   0.32	 166.00	 156.00
55	  50.24	  12.50	  -0.71	 395.00	 337.00
56	  60.65	  31.39	   0.71	 300.00	 353.00
57	  47.90	  16.78	   0.29	  86.00	 228.00
58	  68.74	  20.80	  -0.21	 222.00	 247.00
59	  65.44	  11.96	  -0.62	 224.00	 155.00
60	  49.06	  11.73	  -0.77	 323.00	 228.00
61	  24.88	   9.90	   0.22	 321.00	 439.00
62	  23.00	  12.13	   0.12	 301.00	 244.00
63	  68.90	  13.79	   0.14	 257.00	 276.00
64	  36.54	  19.97	   0.73	 253.00	 162.00
65	  70.00	  14.80	  -0.67	  98.00	 393.00
66	  48.09	   9.89	   0.15	 212.00	 324.00
67	  33.37	  14.77	  -0.33	 250.00	 305.00
68	  67.26	  13.18	   0.20	 190.00	 270.00
69	  69.98	  10.29	  -0.68	 114.00	 280.00
70	  65.85	  27.63	  -0.39	 277.00	 198.00
71	  68.87	  16.79	   0.38	 100.00	 431.00
72	  70.78	  10.48	   0.70	 107.00	 406.00
73	  64.77	   7.54	  -0.41	 296.00	 137.00
74	  58.40	  11.29	   0.07	 303.00	 295.00
75	  23.96	   8.57	  -0.46	 159.00	 226.00
76	  66.17	   9.13	  -0.70	 375.00	 371.00
77	  45.68	  18.20	  -0.39	 308.00	 139.00
78	  30.06	  11.97	   0.12	 151.00	 399.00
79	  70.40	  21.77	   0.57	 259.00	 248.00
80	  61.13	  12.80	   0.35	 352.00	 280.00
81	  72.03	  24.28	   0.15	  92.00	 103.00
82	  73.56	   9.57	   0.40	 230.00	 176.00
