1	  60.24	  37.55	   0.65	  69.04	  87.60
2	  41.34	  35.83	   0.37	 315.40	 172.29
3	  53.98	  40.30	   1.53	 110.97	 170.01
4	  63.41	  53.70	   1.50	 253.14	  65.83
5	  71.81	  42.12	   0.62	 151.85	 312.05
6	  66.19	  64.12	   1.29	 143.03	 352.48
7	  47.17	  50.18	   0.20	  54.54	 255.97
8	  36.36	  40.48	   0.35	  42.06	 244.56
9	  63.10	  37.97	  -1.00	 119.86	 100.36
10	  56.80	  37.49	  -0.04	  61.46	 339.66
11	  66.00	  45.08	   0.62	  71.50	  69.96
12	  68.91	  67.24	   2.41	 304.37	  91.09
13	  72.10	  82.92	   0.43	  62.86	 309.99
14	  51.99	  31.63	   0.66	 177.53	 127.98
15	  40.41	  36.32	   0.20	  87.91	 204.41
16	  83.71	  94.96	  -0.20	 156.56	 226.52
17	  56.22	  41.54	   1.51	  91.71	  92.24
18	  78.04	  82.53	  -0.81	 115.38	 177.33
19	  65.82	  28.70	  -0.74	  88.24	 158.84
20	  50.15	  58.30	  -1.70	  47.76	  60.01
21	  41.31	  30.48	  -0.57	  74.38	 351.65
22	  86.50	  89.55	  -1.39	 128.53	 338.77
23	  80.56	  46.61	  -0.18	  77.91	  49.65
24	  82.93	  55.43	   2.40	  80.30	 279.83
25	  34.63	  39.10	  -2.04	  66.34	 220.20
26	  79.17	  42.92	  -1.23	 195.89	 251.02
27	  70.73	  32.35	   1.44	 135.64	 357.63
28	  70.66	  76.58	  -0.30	  98.90	  52.13
29	  58.19	  34.19	   0.07	 161.20	 366.49
30	  48.18	  41.46	   0.27	 207.53	  69.54
31	  43.64	  33.42	   0.71	  35.20	 141.96
32	  45.24	  35.34	  -0.60	 165.79	 135.20
33	  77.76	  48.14	   1.46	 329.91	 104.82
34	  80.16	  61.13	  -1.27	  92.04	 198.82
35	  65.67	  49.78	  -1.03	  47.53	 248.78
36	  95.57	  73.68	  -2.37	 104.61	 354.84
37	  43.89	  44.06	  -1.75	 123.31	 195.19
38	  95.89	  66.64	   1.31	 262.64	 145.82
39	  61.02	  37.72	  -0.44	  85.67	 384.08
40	  67.30	  74.11	   1.10	  57.19	 179.20
41	  52.36	  45.70	   0.57	 161.22	 253.94
42	  39.22	  42.06	   0.36	  37.32	 290.34
43	  39.70	  31.73	  -0.61	  92.76	 291.30
44	  49.30	  52.64	   1.09	 371.49	 283.37
45	  65.13	  59.49	  -0.40	  91.61	 136.26
46	  77.63	  32.47	  -1.33	  90.61	 282.94
47	  51.24	  39.01	   1.98	 137.80	 249.67
48	  59.07	  34.74	  -1.53	  84.58	 199.78
49	  68.31	  69.58	  -0.08	  87.14	 170.60
50	  35.66	  38.32	   0.92	  42.21	  41.23
51	  66.06	  42.80	  -1.48	 197.62	 193.22
52	  53.99	  53.80	   1.49	 211.96	  79.34
53	  49.72	  46.90	   0.71	  69.59	 311.79
54	  60.93	  52.69	   0.47	 262.20	 143.38
55	  49.81	  35.95	   1.74	 110.74	 193.59
56	  71.53	  35.76	  -0.71	 142.30	 105.11
57	  84.93	  65.42	   0.46	 200.63	  53.03
58	  66.87	  74.53	   2.29	  98.29	 202.38
59	  67.81	  44.80	  -0.29	 150.35	  90.32
60	  83.00	  47.14	  -1.48	 152.35	 289.37
61	  46.33	  32.90	  -1.05	  54.53	 277.74
62	  43.61	  29.36	   0.27	 114.22	 233.91
63	  65.58	  48.30	   1.54	  95.91	 123.53
64	  47.02	  39.36	  -1.15	 194.13	 162.10
65	  79.35	  75.99	  -0.00	 241.85	 330.79
66	  82.78	  43.86	   0.93	 112.73	 100.40
67	  70.67	  28.55	  -0.05	 231.27	 186.28
68	  57.80	  42.27	   1.15	 255.89	 241.39
69	  57.64	  23.11	  -1.10	 118.25	 334.36
70	  45.88	  30.05	   0.38	 121.45	 272.18
71	  72.58	  57.98	  -1.68	 113.29	  90.93
72	  67.59	  52.19	   1.02	  74.56	 108.44
73	  72.81	  49.53	   0.32	  79.59	 235.77
74	  41.43	  45.03	   1.99	 114.52	 323.27
75	  80.10	  49.92	  -1.06	  54.61	 367.96
76	  82.26	  32.22	  -1.26	 128.81	 224.03
